Date,USD,EUR,JPY,GBP,RUB,CNY,KRW,SGD,CAD,AUD
1993-12-01,395.03,0.0,3.55,592.7,0.0,0.0,0.0,0.0,298.28,0.0
1994-12-01,413.0,0.0,4.12,639.77,0.12,48.6,0.0,0.0,295.08,0.0
1995-12-01,473.48,0.0,4.63,731.27,0.1,56.94,0.0,0.0,347.61,0.0
1996-03-01,486.53,0.0,4.6,746.08,0.1,58.69,0.63,0.0,358.68,0.0
1996-06-01,524.86,0.0,4.85,818.29,0.1,63.83,0.66,0.0,390.31,0.0
1996-09-01,586.51,0.0,5.47,935.97,0.11,72.47,0.73,0.0,440.08,0.0
1996-10-01,606.1,0.0,5.42,985.45,0.11,74.0,0.74,0.0,456.55,0.0
1996-11-01,655.79,0.0,6.22,1166.06,0.13,83.69,0.84,0.0,517.95,0.0
1996-12-01,692.76,0.0,5.98,1172.48,0.12,83.57,0.82,0.0,506.86,0.0
1997-01-01,711.24,0.0,6.13,1187.29,0.13,88.03,0.85,0.0,541.78,0.0
1997-02-01,731.79,0.0,6.03,1201.07,0.13,89.26,0.86,0.0,542.96,0.0
1997-03-01,801.39,0.0,6.7,1357.47,0.14,100.04,0.92,0.0,603.66,0.0
1997-04-01,818.36,0.0,6.31,1293.54,0.14,96.06,0.89,0.0,570.56,0.0
1997-05-01,785.64,0.0,6.85,1294.83,0.14,95.47,0.89,0.0,575.55,0.0
1997-06-01,796.79,0.0,6.96,1327.06,0.14,96.39,0.9,0.0,577.94,0.0
1997-07-01,799.07,0.0,6.85,1330.13,0.14,96.53,0.9,0.0,578.04,0.0
1997-08-01,803.65,0.0,6.81,1293.41,0.14,97.1,0.89,0.0,578.52,0.0
1997-09-01,803.85,0.0,6.63,1291.71,0.14,97.19,0.88,0.0,580.76,0.0
1997-10-01,804.96,0.0,6.67,1303.91,0.14,97.31,0.88,0.0,580.8,0.0
1997-11-01,808.05,0.0,6.45,1366.76,0.14,97.74,0.77,0.0,570.12,0.0
1997-12-01,811.95,0.0,6.28,1358.14,0.14,98.21,0.49,0.0,567.27,0.0
1998-01-01,815.2,0.0,6.48,1350.8,136.12,98.65,0.47,0.0,561.73,0.0
1998-02-01,816.55,0.0,6.42,1336.53,136.11,98.62,0.49,0.0,574.21,0.0
1998-03-01,816.7,0.0,6.29,1360.09,136.29,98.75,0.56,0.0,576.49,0.0
1998-04-01,817.98,0.0,6.15,1364.95,133.74,98.98,0.57,0.0,576.94,537.93
